nodeID.from layerID.from nodeID.to layerID.to color size
659 3 669 1 "#FF0000" 2
659 3 670 1 "#FF0000" 2
659 3 671 1 "#FF0000" 2
660 3 669 1 "#FF0000" 2
660 3 670 1 "#FF0000" 2
660 3 671 1 "#FF0000" 2
661 3 669 1 "#FF0000" 2
661 3 670 1 "#FF0000" 2
661 3 671 1 "#FF0000" 2
662 3 669 1 "#FF0000" 2
662 3 671 1 "#FF0000" 2
663 3 671 1 "#FF0000" 2
664 3 671 1 "#FF0000" 2
665 3 671 1 "#FF0000" 2
666 3 670 1 "#FF0000" 2
666 3 671 1 "#FF0000" 2
666 3 672 1 "#FF0000" 2
667 3 669 1 "#FF0000" 2
667 3 670 1 "#FF0000" 2
667 3 671 1 "#FF0000" 2
667 3 672 1 "#FF0000" 2
667 3 672 1 "#FF0000" 2
668 3 669 1 "#FF0000" 2
668 3 670 1 "#FF0000" 2
668 3 671 1 "#FF0000" 2
668 3 672 1 "#FF0000" 2
668 3 672 1 "#FF0000" 2
669 1 654 2 "#00FF00" 2
670 1 655 2 "#00FF00" 2
671 1 656 2 "#00FF00" 2
672 1 657 2 "#00FF00" 2
673 1 658 2 "#00FF00" 2
659 3 654 2 "#6e8b3d" 2
659 3 656 2 "#6e8b3d" 2
660 3 654 2 "#6e8b3d" 2
660 3 656 2 "#6e8b3d" 2
661 3 654 2 "#6e8b3d" 2
661 3 656 2 "#6e8b3d" 2
662 3 654 2 "#6e8b3d" 2
662 3 656 2 "#6e8b3d" 2
663 3 565 2 "#6e8b3d" 2
664 3 565 2 "#6e8b3d" 2
665 3 565 2 "#6e8b3d" 2
666 3 655 2 "#6e8b3d" 2
666 3 656 2 "#6e8b3d" 2
667 3 655 2 "#6e8b3d" 2
667 3 658 2 "#6e8b3d" 2
668 3 655 2 "#6e8b3d" 2
668 3 657 2 "#6e8b3d" 2
